noisy,t1,eavesdrop,QBER,key_len
False,None,False,0.0,252
False,None,False,0.0,232
False,None,False,0.0,269
False,None,True,0.23236514522821575,241
False,None,True,0.22357723577235766,246
False,None,True,0.2839506172839506,243
True,10.0,False,0.004310344827586207,232
True,10.0,False,0.00390625,256
True,10.0,False,0.0,228
True,10.0,True,0.23773584905660375,265
True,10.0,True,0.27310924369747897,238
True,10.0,True,0.27734375,256
True,3.0,False,0.02631578947368421,266
True,3.0,False,0.03952569169960474,253
True,3.0,False,0.016393442622950817,244
True,3.0,True,0.24444444444444444,270
True,3.0,True,0.284,250
True,3.0,True,0.2380952380952381,252
True,1.0,False,0.0946969696969697,264
True,1.0,False,0.04602510460251046,239
True,1.0,False,0.06923076923076922,260
True,1.0,True,0.25882352941176473,255
True,1.0,True,0.30472103004291845,233
True,1.0,True,0.25806451612903225,248
True,0.3,False,0.140625,256
True,0.3,False,0.2107142857142857,280
True,0.3,False,0.15450643776824036,233
True,0.3,True,0.3048327137546468,269
True,0.3,True,0.3416666666666667,240
True,0.3,True,0.319838056680162,247
True,0.1,False,0.34220532319391633,263
True,0.1,False,0.3780487804878049,246
True,0.1,False,0.3694029850746269,268
True,0.1,True,0.4423963133640553,217
True,0.1,True,0.41841004184100417,239
True,0.1,True,0.4367816091954023,261
True,0.03,False,0.5176991150442478,226
True,0.03,False,0.5227272727272727,264
True,0.03,False,0.5335968379446641,253
True,0.03,True,0.4208494208494208,259
True,0.03,True,0.46768060836501896,263
True,0.03,True,0.4658119658119658,234
True,0.01,False,0.4661654135338346,266
True,0.01,False,0.5131086142322098,267
True,0.01,False,0.5041322314049587,242
True,0.01,True,0.476923076923077,260
True,0.01,True,0.4435146443514644,239
True,0.01,True,0.4857142857142857,245
